NAME,FIRSTREF,FIRSTURL,DATE,NUM_OBS,MASS(mjupiter),RADIUS(rjupiter),PERIOD(day),ECCENTRICITY,SEMI_MAJOR_AXIS(AU),SEPARATION(AU),STAR_NAME,DIST(PARSEC),RA_STRING(h:m:s),DEC_STRING(d:m:s),STAR_MASS(msun),STAR_RADIUS(rsun)
Kepler-68 d,Gilliland 2013,http://adsabs.harvard.edu/abs/2013ApJ...766...40G,2013,52,0.80971,,580,0.18,1.39638,1.39638,Kepler-68,135,19:24:07.764,+49:02:24.9,1.079,1.243
WASP-95 b,Hellier 2013,http://adsabs.harvard.edu/abs/2014MNRAS.440.1982H,2013,,1.13,1.21,2.184673,0,0.0341288,0.0341288,WASP-95,,22:29:49.73,-48:00:11.0,1.11,1.13
Kepler-89 c,Weiss 2013,http://adsabs.harvard.edu/abs/2013ApJ...768...14W,2013,,0.0295756,0.3937,10.423648,0.43,0.101317,0.101317,Kepler-89,,19:49:19.934,+41:53:28.0,1.277,1.52
HD 4732 c,Sato 2013,http://adsabs.harvard.edu/abs/2013ApJ...762....9S,2013,67,2.36493,,2732,0.23,4.60219,4.60219,HD 4732,57.9039,+00:49:13.90,-24:08:11.50,1.74,5.55146
WASP-64 b,Gillon 2013,http://adsabs.harvard.edu/abs/2013A%26A...552A..82G,2013,16,1.27137,1.271,1.5732918,0,0.0265195,0.0265195,WASP-64,350,06:44:27.610,-32:51:30.2,1.004,1.058
Kepler-79 c,Xie 2013,http://adsabs.harvard.edu/abs/2013ApJS..208...22X,2013,,0.0186,0.339,27.402,0.03,0.183622,0.183622,Kepler-79,,20:02:04.114,+44:22:53.4,1.1,1.1
Kepler-62 c,Borucki 2013,http://adsabs.harvard.edu/abs/2013Sci...340..587B,2013,,0,0.0481326,12.4417,0.186815,0.0928559,0.0928559,Kepler-62,368,18:52:51.059,+45:20:59.5,0.69,0.64
HATS-1 b,Penev 2013,http://adsabs.harvard.edu/abs/2013AJ....145....5P,2013,33,1.86507,1.302,3.446459,0.12,0.0444708,0.0444708,HATS-1,303,11:42:06.080,-23:21:17.4,0.986,1.038
Kepler-68 c,Batalha 2013,http://adsabs.harvard.edu/abs/2013ApJS..204...24B,2013,52,0.015142,0.0849452,9.605085,0,0.0907017,0.0907017,Kepler-68,135,19:24:07.764,+49:02:24.9,1.079,1.243
HD 13908 b,Moutou 2013,http://adsabs.harvard.edu/abs/2013arXiv1311.5271M,2013,77,0.865,,19.382,0.046,0.153755,0.153755,HD 13908,71.2,+02:18:14.53,+65:35:40.03,1.29,1.67
GJ 163 d,Bonfils 2013,http://adsabs.harvard.edu/abs/2013A%26A...556A.110B,2013,153,0.0926098,,603.95116,0.373,1.03037,1.03037,GJ 163,14.9948,+04:09:14.65,-53:22:30.41,0.4,
WASP-59 b,Hebrard 2013,http://adsabs.harvard.edu/abs/2013A%26A...549A.134H,2013,34,0.859095,0.775,7.919585,0.1,0.0696866,0.0696866,WASP-59,125,23:18:29.540,+24:53:21.4,0.719,0.613
WASP-54 b,Faedi 2013,http://adsabs.harvard.edu/abs/2013A%26A...551A..73F,2013,23,0.63273,1.653,3.6936411,0.067,0.049881,0.049881,WASP-54,200,13:41:49.028,-00:07:41.0,1.213,1.828
Kepler-89 b,Weiss 2013,http://adsabs.harvard.edu/abs/2013ApJ...768...14W,2013,,0.0287348,0.1558,3.743208,0.25,0.0511881,0.0511881,Kepler-89,,19:49:19.934,+41:53:28.0,1.277,1.52
GJ 163 b,Bonfils 2013,http://adsabs.harvard.edu/abs/2013A%26A...556A.110B,2013,153,0.033876,,8.631,0.11,0.0606753,0.0606753,GJ 163,14.9948,+04:09:14.65,-53:22:30.41,0.4,
HD 2952 b,Sato 2013,http://adsabs.harvard.edu/abs/2013arXiv1304.4328S,2013,,1.62021,,311.6,0.129,1.22755,1.22755,HD 2952,115.207,+00:33:10.32,+54:53:42.29,2.54,11.4311
WASP-56 b,Faedi 2013,http://adsabs.harvard.edu/abs/2013A%26A...551A..73F,2013,13,0.605385,1.092,4.617101,0,0.056145,0.056145,WASP-56,255,12:13:27.906,+23:03:20.3,1.107,1.112
KIC 11442793 f,Cabrera 2013,http://adsabs.harvard.edu/abs/2013arXiv1310.6248C,2013,,0.0254263,0.26,124.9144,,0.519687,0.519687,KIC 11442793,780,18:57:44.038,+49:18:18.5,1.2,1.2
Kepler-60 b,Batalha 2013,http://adsabs.harvard.edu/abs/2013ApJS..204...24B,2013,,0.0172607,0.203227,7.1316185,,0.0750769,0.0750769,Kepler-60,,19:15:50.698,+42:15:54.0,1.11,1.5
KIC 11442793 b,Cabrera 2013,http://adsabs.harvard.edu/abs/2013arXiv1310.6248C,2013,,0.00752338,0.117,7.008151,,0.0761616,0.0761616,KIC 11442793,780,18:57:44.038,+49:18:18.5,1.2,1.2
Kepler-37 c,Batalha 2013,http://adsabs.harvard.edu/abs/2013ApJS..204...24B,2013,,0.0107897,0.066,21.301886,0.0984886,0.139784,0.139784,Kepler-37,66,18:56:14.306,+44:31:05.3,0.803,0.77
Kepler-63 b,Sanchis-Ojeda 2013,http://adsabs.harvard.edu/abs/2013arXiv1307.8128S,2013,,0.125283,0.545,9.4341505,,0.0869107,0.0869107,Kepler-63,200,19:16:54.294,+49:32:53.5,0.984,0.901
KELT-3 b,Pepper 2013,http://adsabs.harvard.edu/abs/2013ApJ...773...64P,2013,21,1.46164,1.358,2.70339,0,0.0412729,0.0412729,KELT-3,178,09:54:34.388,+40:23:16.9,1.282,1.482
CoRoT-25 b,Almenara 2013,http://adsabs.harvard.edu/abs/2013A%26A...555A.118A,2013,,0.27,1.08,4.86069,0,0.0577982,0.0577982,CoRoT-25,1000,18:39:00.123,+06:58:11.2,1.09,1.19
Kepler-51 c,Batalha 2013,http://adsabs.harvard.edu/abs/2013ApJS..204...24B,2013,,0.0126,0.508958,85.3128662,,0.379271,0.379271,Kepler-51,,19:45:55.146,+49:56:15.6,1,0.91
KIC 11442793 c,Cabrera 2013,http://adsabs.harvard.edu/abs/2013arXiv1310.6248C,2013,,0.0053608,0.106,8.719375,,0.088103,0.088103,KIC 11442793,780,18:57:44.038,+49:18:18.5,1.2,1.2
Kepler-69 c,Batalha 2013,http://adsabs.harvard.edu/abs/2013ApJS..204...24B,2013,,0.0126299,0.15242,242.4613,0.14,0.709354,0.709354,Kepler-69,,19:33:02.625,+44:52:08.0,0.81,0.93
PH-2 b,Wang 2013,http://adsabs.harvard.edu/abs/2013ApJ...776...10W,2013,,0.488198,0.902041,282.5255,0.41,0.825444,0.825444,PH-2,,19:19:03.264,+51:57:45.36,0.94,1
WASP-52 b,Hebrard 2013,http://adsabs.harvard.edu/abs/2013A%26A...549A.134H,2013,64,0.457165,1.27,1.7497798,0,0.0271336,0.0271336,WASP-52,140,23:13:58.760,+08:45:40.6,0.87,0.79
HIP 91258 b,Moutou 2013,http://adsabs.harvard.edu/abs/2013arXiv1311.5271M,2013,27,1.068,,5.0505,0.024,0.0566534,0.0566534,HIP 91258,44.9,18:36:53.154,+61:42:09.0,0.95,1
WASP-97 b,Hellier 2013,http://adsabs.harvard.edu/abs/2014MNRAS.440.1982H,2013,,1.32,1.13,2.07276,0,0.0330527,0.0330527,WASP-97,,01:38:25.04,-55:46:19.4,1.12,1.06
Kepler-77 b,Gandolfi 2013,http://adsabs.harvard.edu/abs/2013A%26A...557A..74G,2013,,0.430957,0.96,3.57878087,0,0.0450195,0.0450195,Kepler-77,570,19:18:25.909,+44:20:43.5,0.95,0.99
HD 159243 c,Moutou 2013,http://adsabs.harvard.edu/abs/2013arXiv1311.5271M,2013,,1.9,,248.4,0.075,0.804743,0.804743,HD 159243,69.2,+17:33:21.58,+05:42:02.44,1.125,1.12
Kepler-87 c,Ofir 2013,http://adsabs.harvard.edu/abs/2013arXiv1310.2064O,2013,,0.0201366,0.549,191.2318,0.039,0.67057,0.67057,Kepler-87,,19:51:40.0,+46:57:54,1.1,1.82
WASP-98 b,Hellier 2013,http://adsabs.harvard.edu/abs/2014MNRAS.440.1982H,2013,,0.83,1.1,2.96264,0,0.0356868,0.0356868,WASP-98,,03:53:42.90,-34:19:41.7,0.69,0.7
KIC 11442793 d,Cabrera 2013,http://adsabs.harvard.edu/abs/2013arXiv1310.6248C,2013,,0.0247111,0.256,56.73667,,0.307074,0.307074,KIC 11442793,780,18:57:44.038,+49:18:18.5,1.2,1.2
Kepler-60 d,Batalha 2013,http://adsabs.harvard.edu/abs/2013ApJS..204...24B,2013,,0.0202381,0.227293,11.9016171,,0.105629,0.105629,Kepler-60,,19:15:50.698,+42:15:54.0,1.11,1.5
HD 113337 b,Borgniet 2013,http://adsabs.harvard.edu/abs/2013arXiv1310.1994B,2013,266,2.83,,324,0.46,1.03346,1.03346,HD 113337,36.8868,+13:01:47.15,+63:36:36.59,1.4,1.5
Kepler-37 b,Batalha 2013,http://adsabs.harvard.edu/abs/2013ApJS..204...24B,2013,,0.00958673,0.0270078,13.367308,0,0.102457,0.102457,Kepler-37,66,18:56:14.306,+44:31:05.3,0.803,0.77
WASP-58 b,Hebrard 2013,http://adsabs.harvard.edu/abs/2013A%26A...549A.134H,2013,37,0.891379,1.37,5.01718,0,0.0562022,0.0562022,WASP-58,300,18:18:48.251,+45:10:19.1,0.94,1.17
WASP-100 b,Hellier 2013,http://adsabs.harvard.edu/abs/2014MNRAS.440.1982H,2013,,2.03,1.69,2.849375,0,0.0457351,0.0457351,WASP-100,,04:35:50.32,-64:01:37.3,1.57,2
HD 4732 b,Sato 2013,http://adsabs.harvard.edu/abs/2013ApJ...762....9S,2013,67,2.37727,,360.2,0.13,1.19218,1.19218,HD 4732,57.9039,+00:49:13.90,-24:08:11.50,1.74,5.55146
Kepler-62 f,Borucki 2013,http://adsabs.harvard.edu/abs/2013Sci...340..587B,2013,,0,0.12568,267.291,0.094434,0.717595,0.717595,Kepler-62,368,18:52:51.059,+45:20:59.5,0.69,0.64
Kepler-60 c,Batalha 2013,http://adsabs.harvard.edu/abs/2013ApJS..204...24B,2013,,0.0192896,0.220162,8.9193459,,0.0871504,0.0871504,Kepler-60,,19:15:50.698,+42:15:54.0,1.11,1.5
WASP-101 b,Hellier 2013,http://adsabs.harvard.edu/abs/2014MNRAS.440.1982H,2013,,0.5,1.41,3.585722,0,0.0505526,0.0505526,WASP-101,,06:33:24.26,-23:29:10.2,1.34,1.29
HD 13908 c,Moutou 2013,http://adsabs.harvard.edu/abs/2013arXiv1311.5271M,2013,,5.13,,931,0.12,2.03386,2.03386,HD 13908,71.2,+02:18:14.53,+65:35:40.03,1.29,1.67
PH-1 b,Schwamb 2013,http://adsabs.harvard.edu/abs/2013ApJ...768..127S,2013,,0.100437,0.550851,138.506,0.0539,0.629412,0.629412,PH-1,1500,19:52:51.624,+39:57:18.36,1.734,1.759
KIC 11442793 h,Cabrera 2013,http://adsabs.harvard.edu/abs/2013arXiv1310.6248C,2013,,0.937417,1.01,331.60059,,0.996347,0.996347,KIC 11442793,780,18:57:44.038,+49:18:18.5,1.2,1.2
GJ 433 b,Delfosse 2013,http://adsabs.harvard.edu/abs/2013A%26A...553A...8D,2013,233,0.0181986,,7.3709,0.08,0.0580371,0.0580371,GJ 433,8.88257,+11:35:27.00,-32:32:16.44,0.48,
HD 159243 b,Moutou 2013,http://adsabs.harvard.edu/abs/2013arXiv1311.5271M,2013,,1.13,,12.62,0.02,0.110366,0.110366,HD 159243,69.2,+17:33:21.58,+05:42:02.44,1.125,1.12
GJ 163 c,Bonfils 2013,http://adsabs.harvard.edu/abs/2013A%26A...556A.110B,2013,153,0.0215524,,25.63058,0.099,0.125354,0.125354,GJ 163,14.9948,+04:09:14.65,-53:22:30.41,0.4,
HD 208527 b,Lee 2013,http://adsabs.harvard.edu/abs/2013A%26A...549A...2L,2013,24,10.014,,875.5,0.08,2.099,2.099,HD 208527,403.226,+21:56:23.98,+21:14:23.36,1.6,41.0489
GJ 504 b,Kuzuhara 2013,http://arxiv.org/abs/1307.2886,2013,,4,,,,,,GJ 504,17.67,+13:16:46.71,+09:25:25.29,1.22,0.912273
WASP-57 b,Faedi 2013,http://adsabs.harvard.edu/abs/2013A%26A...551A..73F,2013,25,0.675887,0.916,2.838971,0,0.0386362,0.0386362,WASP-57,455,14:55:16.820,-02:03:27.5,0.954,0.836
HATS-2 b,Mohler-Fischer 2013,http://arxiv.org/abs/1304.2140,2013,29,1.34915,1.168,1.354133,0,0.0229834,0.0229834,HATS-2,360,11:46:57.370,-22:33:46.8,0.882,0.898
Kepler-57 c,Batalha 2013,http://adsabs.harvard.edu/abs/2013ApJS..204...24B,2013,,0.0115953,0.138158,11.6092567,,0.0942979,0.0942979,Kepler-57,,19:34:33.908,+44:39:25.3,0.83,0.73
WASP-77 A b,Maxted 2013,http://adsabs.harvard.edu/abs/2013PASP..125...48M,2013,19,1.75921,1.21,1.3600309,0,0.0240531,0.0240531,WASP-77 A,93,02:28:37.229,-07:03:38.4,1.002,0.955
WASP-75 b,Gomez 2013,http://adsabs.harvard.edu/abs/2013arXiv1307.6532G,2013,,1.07,1.27,2.484193,0,0.0375112,0.0375112,WASP-75,260,22:49:32.568,-10:40:31.9,1.14,1.26
HD 220074 b,Lee 2013,http://adsabs.harvard.edu/abs/2013A%26A...549A...2L,2013,32,11.1883,,672.1,0.14,1.60044,1.60044,HD 220074,324.675,+23:20:14.37,+61:58:12.51,1.2,54.7067
GJ 328 b,Robertson 2013,http://adsabs.harvard.edu/abs/2013arXiv1307.7640R,2013,,2.3,,4100,0.37,4.43476,4.43476,GJ 328,19.8,+08:55:07.60,+01:32:56.57,0.69,
WASP-60 b,Hebrard 2013,http://adsabs.harvard.edu/abs/2013A%26A...549A.134H,2013,53,0.512143,0.86,4.3050011,0,0.0531121,0.0531121,WASP-60,400,23:46:39.984,+31:09:21.4,1.078,1.14
WASP-71 b,Smith 2013,http://adsabs.harvard.edu/abs/2013A%26A...552A.120S,2013,56,1,1.5,2.9036747,0,0.0463361,0.0463361,WASP-71,200,01:57:03.208,+00:45:31.7,1.572,2.32
Kepler-79 b,Xie 2013,http://adsabs.harvard.edu/abs/2013ApJS..208...22X,2013,,0.0343,0.316,13.485,0.015,0.114456,0.114456,Kepler-79,,20:02:04.114,+44:22:53.4,1.1,1.1
WASP-72 b,Gillon 2013,http://adsabs.harvard.edu/abs/2013A%26A...552A..82G,2013,18,1.40771,1.01,2.216726,0,0.036575,0.036575,WASP-72,250,02:44:09.600,-30:10:09.1,1.327,1.71
KIC 11442793 e,Cabrera 2013,http://adsabs.harvard.edu/abs/2013arXiv1310.6248C,2013,,0.021628,0.237,91.93913,,0.423643,0.423643,KIC 11442793,780,18:57:44.038,+49:18:18.5,1.2,1.2
WASP-82 b,West 2013,http://adsabs.harvard.edu/abs/2013arXiv1310.5607W,2013,28,1.25,1.71,2.705785,0,0.0448252,0.0448252,WASP-82,200,04:50:38.56,+01:53:38.1,1.64,2.219
HD 120084 b,Sato 2013,http://adsabs.harvard.edu/abs/2013arXiv1304.4328S,2013,,4.4772,,2082,0.66,4.26892,4.26892,HD 120084,97.6562,+13:42:39.38,+78:03:51.57,2.39,10.9537
CoRoT-26 b,Almenara 2013,http://adsabs.harvard.edu/abs/2013A%26A...555A.118A,2013,24,0.479479,1.26,4.20474,0,0.052477,0.052477,CoRoT-26,1670,18:39:00.123,+06:58:11.2,1.09,1.79
Kepler-55 c,Batalha 2013,http://adsabs.harvard.edu/abs/2013ApJS..204...24B,2013,,0.016585,0.196987,42.1516418,,0.202122,0.202122,Kepler-55,,19:00:40.401,+44:01:35.2,0.62,0.58
WASP-96 b,Hellier 2013,http://adsabs.harvard.edu/abs/2014MNRAS.440.1982H,2013,,0.48,1.2,3.4252602,0,0.0453489,0.0453489,WASP-96,,00:04:11.14,-47:21:38.2,1.06,1.05
Kepler-133 b,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,2014,,0.0129814,0.157017,8.129976,,0.0791285,0.0791285,Kepler-133,,+19:49:06.71,+48:19:13.19,,1.425
Kepler-191 c,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,2014,,0.0136944,0.165938,17.738506,,0.133112,0.133112,Kepler-191,,+19:24:44.03,+45:19:23.41,,0.789
Kepler-185 c,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,2014,,0.0149351,0.180212,20.729042,,0.147681,0.147681,Kepler-185,,+18:49:52.36,+43:53:23.68,,0.806
Kepler-124 b,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,2014,,0.000957504,0.0651262,3.410493,,0.0443423,0.0443423,Kepler-124,,+19:07:00.66,+49:03:53.68,,0.636
Kepler-348 c,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,2014,,0.00789025,0.118655,17.265427,,0.130735,0.130735,Kepler-348,,+19:49:01.20,+40:32:54.13,,1.359
Kepler-108 b,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,2014,,0.268526,0.771701,49.183921,,0.262717,0.262717,Kepler-108,,+19:38:14.21,+46:03:44.39,,2.192
Kepler-215 c,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,2014,,0.0130508,0.157909,14.667108,,0.117265,0.117265,Kepler-215,,+19:39:53.64,+45:12:49.28,,1.027
Kepler-399 d,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,2014,,0.0139171,0.168615,58.034616,,0.293358,0.293358,Kepler-399,,+19:58:00.41,+40:40:14.88,,0.68
Kepler-31 d,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,2014,,0.0685925,0.406816,87.648901,,0.386163,0.386163,Kepler-31,,+19:36:05.51,+45:51:11.09,,1.306
Kepler-251 b,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,2014,,0.00789025,0.118655,4.790936,,0.0556186,0.0556186,Kepler-251,,+19:46:15.89,+44:06:21.10,,0.89
Kepler-292 c,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,2014,,0.0110268,0.131145,3.715335,,0.0469467,0.0469467,Kepler-292,,+19:43:03.86,+42:25:27.41,,0.826
Kepler-324 b,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,2014,,0.00464108,0.101704,4.385315,,0.0524333,0.0524333,Kepler-324,,+19:05:53.16,+49:38:56.47,,0.84
Kepler-207 b,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,2014,,0.0117295,0.140066,1.611865,,0.0269045,0.0269045,Kepler-207,,+19:20:07.33,+42:09:57.78,,1.588
Kepler-244 b,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,2014,,0.0230631,0.246231,4.311792,,0.0518456,0.0518456,Kepler-244,,+19:08:58.24,+42:18:04.93,,0.803
Kepler-250 c,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,2014,,0.0172808,0.203408,7.156804,,0.0726807,0.0726807,Kepler-250,,+19:18:22.75,+44:08:31.02,,0.805
Kepler-356 b,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,2014,,0.0117295,0.140066,4.612696,,0.0542304,0.0542304,Kepler-356,,+19:29:41.06,+37:40:58.15,,1.335
Kepler-296 c,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,2014,,0.0160511,0.19181,5.841648,,0.063479,0.063479,Kepler-296,,+19:06:09.61,+49:26:14.39,,0.557
Kepler-212 b,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,2014,,0.00396389,0.0972433,16.257582,,0.125596,0.125596,Kepler-212,,+19:10:28.99,+43:08:29.94,,1.455
Kepler-309 b,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,2014,,0.0116666,0.139174,5.923653,,0.0640717,0.0640717,Kepler-309,,+19:50:02.36,+46:57:40.54,,0.721
Kepler-343 c,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,2014,,0.0149351,0.180212,23.22182,,0.159296,0.159296,Kepler-343,,+19:27:50.58,+42:25:58.84,,1.433
Kepler-261 c,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,2014,,0.0147725,0.178428,24.570858,,0.165407,0.165407,Kepler-261,,+19:25:27.55,+37:36:33.01,,0.794
Kepler-378 b,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,2014,,0.00105258,0.0669105,16.092361,,0.124744,0.124744,Kepler-378,,+19:39:47.66,+46:26:19.10,,0.671
Kepler-336 c,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,2014,,0.0156092,0.187349,9.600001,,0.0884004,0.0884004,Kepler-336,,+19:20:57.05,+41:19:52.97,,1.304
M 67 SAND 364 b,Brucalassi 2014,http://adsabs.harvard.edu/abs/2014A%26A...561L...9B,2014,20,1.88274,,121.71,0.35,0.531449,0.531449,M 67 SAND 364,843.335,08:49:56.82,+11:41:33.00,1.35,20.1708
Kepler-228 c,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,2014,,0.0222169,0.240878,4.134444,,0.050414,0.050414,Kepler-228,,+19:45:08.68,+48:13:28.81,,1.014
Kepler-296 f,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,2014,,0.0131908,0.159693,63.335879,,0.310961,0.310961,Kepler-296,,+19:06:09.61,+49:26:14.39,,0.557
Kepler-284 b,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,2014,,0.0168894,0.199839,12.699149,,0.106526,0.106526,Kepler-284,,+19:32:35.16,+47:43:46.74,,0.814
Kepler-365 b,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,2014,,0.0151,0.181997,10.664903,,0.0948224,0.0948224,Kepler-365,,+19:42:30.38,+49:07:49.55,,1.048
Kepler-117 c,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,2014,,0.923754,1.00812,50.790412,,0.268407,0.268407,Kepler-117,,+19:15:10.33,+48:02:24.83,,1.471
Kepler-311 b,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,2014,,0.012573,0.151664,9.176092,,0.0857785,0.0857785,Kepler-311,,+18:48:14.72,+47:05:07.76,,1.188
Kepler-48 d,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M,2014,,0.0151,0.181997,42.8961,0,0.229818,0.229818,Kepler-48,,19:56:33.411,+40:56:56.4,0.88,0.89
Kepler-288 c,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,2014,,0.0244074,0.25426,19.305772,,0.140842,0.140842,Kepler-288,,+19:15:39.96,+39:35:40.96,,1.091
Kepler-229 d,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,2014,,0.0469127,0.343474,41.194912,,0.233437,0.233437,Kepler-229,,+19:07:59.88,+48:22:32.84,,0.728
HAT-P-46 b,Hartman 2014,http://adsabs.harvard.edu/abs/2014AJ....147..128H,2014,,0.493,1.284,4.463129,0.123,0.0576688,0.0576688,HAT-P-46,296,18:01:46.608,-02:58:15.4,1.284,1.396
Kepler-366 c,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,2014,,0.0131908,0.159693,12.51616,,0.1055,0.1055,Kepler-366,,+19:47:24.50,+49:05:03.98,,1.048
Kepler-331 c,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,2014,,0.0135483,0.164154,17.28111,,0.130814,0.130814,Kepler-331,,+19:27:20.23,+39:18:26.50,,0.492
Kepler-298 c,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,2014,,0.0142208,0.172183,22.92881,,0.157953,0.157953,Kepler-298,,+18:52:09.55,+48:49:31.30,,0.582
Kepler-226 c,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,2014,,0.0171819,0.202516,5.349555,,0.0598621,0.0598621,Kepler-226,,+19:29:30.26,+47:52:51.56,,0.802
CoRoT-22 b,Moutou 2014,http://adsabs.harvard.edu/abs/2014MNRAS.444.2783M,2014,38,0.0383,0.445,9.75598,0.077,0.0922129,0.0922129,CoRoT-22,592,18:42:40.109,+06:13:08.,1.099,1.136
Kepler-171 c,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,2014,,0.020389,0.228388,11.463462,,0.0994986,0.0994986,Kepler-171,,+19:47:05.24,+41:45:19.94,,0.839
Kepler-99 b,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M,2014,,0.01935,0.132037,4.60358,0,0.0500668,0.0500668,Kepler-99,,19:49:24.961,+41:18:00.1,0.79,0.73
Kepler-226 b,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,2014,,0.011604,0.138282,3.940997,,0.0488289,0.0488289,Kepler-226,,+19:29:30.26,+47:52:51.56,,0.802
Kepler-132 c,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,2014,,0.00692663,0.114194,6.414914,,0.0675669,0.0675669,Kepler-132,,+18:52:56.60,+41:20:34.94,,1.178
Kepler-335 c,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,2014,,0.0281036,0.273887,67.844469,,0.325549,0.325549,Kepler-335,,+19:44:15.43,+45:25:43.03,,1.854
Kepler-340 b,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,2014,,0.0200225,0.225711,14.844387,,0.118208,0.118208,Kepler-340,,+19:43:44.04,+40:18:02.05,,1.85
Kepler-383 b,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,2014,,0.00769114,0.117763,12.904532,,0.107672,0.107672,Kepler-383,,+19:25:22.22,+38:21:47.27,,0.672
Kepler-390 b,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,2014,,0.00144064,0.0731555,6.738088,,0.0698175,0.0698175,Kepler-390,,+19:26:30.91,+41:12:30.96,,0.776
Kepler-363 b,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,2014,,0.00493175,0.103488,3.614568,,0.046094,0.046094,Kepler-363,,+18:52:46.09,+41:18:19.40,,1.485
Kepler-352 c,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,2014,,0.00621274,0.110625,16.332995,,0.125984,0.125984,Kepler-352,,+19:59:35.16,+46:03:07.09,,0.781
Kepler-210 b,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,2014,,0.0258466,0.262289,2.453234,,0.0355986,0.0355986,Kepler-210,,+19:30:00.83,+43:04:59.34,,0.65
Kepler-125 c,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,2014,,0.00100422,0.0660184,5.774464,,0.0629914,0.0629914,Kepler-125,,+19:53:01.97,+47:36:17.78,,0.512
Kepler-322 b,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,2014,,0.00302153,0.0901062,1.653888,,0.0273702,0.0273702,Kepler-322,,+18:45:23.72,+44:17:42.86,,0.89
Kepler-252 b,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,2014,,0.00604207,0.109733,6.668391,,0.0693352,0.0693352,Kepler-252,,+19:42:19.04,+44:32:45.46,,0.549
Kepler-354 c,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,2014,,0.00749504,0.11687,16.934402,,0.129058,0.129058,Kepler-354,,+19:03:00.36,+41:20:08.30,,0.674
